18076,980,1
18076,1523,1
18076,1024,1
18076,636,1
18076,985,1
18076,724,1
18076,789,1
18076,2042,1
18076,881,1
18076,1625,1
18076,3050,1
18076,846,1
18076,1592,1
18076,828,1
18076,969,1
18076,774,1
18076,1476,1
18076,1267,1
18076,833,1
18076,2893,1
18076,2127,1
18076,924,1
18076,2504,1
18076,2552,1
18076,2626,1
18076,1471,1
18076,1800,1
18076,1810,1
18076,1855,1
18076,1860,1
18076,1861,1
18076,2434,1
18076,2681,1
18076,2440,1
18076,1825,1
18076,1840,1
18076,2766,1
18076,2570,1
18076,1444,1
18076,2661,1
18076,2032,1
18076,618,1
18076,2439,1
18076,2489,1
18076,1795,1
18076,3000,1
18076,2209,1
18076,2961,1
18076,2003,1
18076,2003,1
18076,2691,1
18076,3149,1
18076,2562,1
18076,2562,1
18076,3149,1
18076,2562,1
18076,3262,1
18076,3262,1
18076,2562,1
18076,2691,1
18076,1845,1
18076,2937,1
18076,1780,1
18076,1780,1
18076,2562,1
18076,2646,1
18076,1770,1
18076,3251,1
18076,2883,1
